"filename", "language", "JSON", "JavaScript", "Markdown", "JavaScript JSX", "SVG", "CSS", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useWindowResize.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\EditInvoice\EditInvoice.jsx", "JavaScript JSX", 0, 0, 0, 41, 0, 0, 0, 0, 3, 14, 58
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\EditInvoice\EditInvoiceForm.jsx", "JavaScript JSX", 0, 0, 0, 204, 0, 0, 0, 0, 15, 26, 245
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\EditInvoice\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Home\Home.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Home\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\Invoice.jsx", "JavaScript JSX", 0, 0, 0, 132, 0, 0, 0, 0, 16, 28, 176
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\InvoiceItem.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\ItemsSection.jsx", "JavaScript JSX", 0, 0, 0, 68, 0, 0, 0, 0, 5, 7, 80
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoices\InvoicePreview.jsx", "JavaScript JSX", 0, 0, 0, 72, 0, 0, 0, 0, 3, 17, 92
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoices\Invoices.jsx", "JavaScript JSX", 0, 0, 0, 60, 0, 0, 0, 0, 5, 16, 81
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoices\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Login\Login.jsx", "JavaScript JSX", 0, 0, 0, 87, 0, 0, 0, 0, 2, 12, 101
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Login\LoginModal.jsx", "JavaScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 2, 14, 104
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Login\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NewInvoice\NewInvoice.jsx", "JavaScript JSX", 0, 0, 0, 52, 0, 0, 0, 0, 6, 19, 77
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NewInvoice\NewInvoiceForm.jsx", "JavaScript JSX", 0, 0, 0, 209, 0, 0, 0, 0, 10, 23, 242
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NewInvoice\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NotFoundPage\NotFoundPage.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NotFoundPage\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\PageLayout\PageLayout.jsx", "JavaScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 1, 7, 56
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\PageLayout\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Signup.jsx\Signup.jsx", "JavaScript JSX", 0, 0, 0, 264, 0, 0, 0, 0, 12, 35, 311
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Signup.jsx\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\UserProfile\UserProfile.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 1, 12, 44
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\UserProfile\UserProfileForm.jsx", "JavaScript JSX", 0, 0, 0, 108, 0, 0, 0, 0, 7, 11, 126
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\UserProfile\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\styles\index.css", "CSS", 0, 0, 0, 0, 0, 112, 0, 0, 0, 18, 130
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\tailwind.config.cjs", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 0, 2, 3, 125
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\tailwindconfig.json", "JSON", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\vite.config.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\package-lock.json", "JSON", 5793, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5794
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\package.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"Total", "-", 11349, 749, 18, 2823, 11, 112, 5, 13, 243, 782, 16105
