"filename", "language", "JavaScript", "JSON with Comments", "JSON", "SVG", "CSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\FilterItemCheckbox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 7, 40
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\Filters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 1, 7, 26
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\FormSectionButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 2, 3, 26
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\GoBackLink.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\InvoiceFormItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 115, 0, 6, 12, 133
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\InvoicesControlPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 1, 5, 18
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\LoadingAnimation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\MobileNav.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 6, 11, 80
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\NavLinkItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 121, 0, 10, 23, 154
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\NoInvoices.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 6, 32
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\Overview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 6, 51
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\RandomLogo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\components\TextInputWithValidation.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 2, 29
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 2, 9, 44
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\context\InvoicesContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 4, 6, 85
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\context\useModalStore.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 3, 8, 40
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\data\data.json", "JSON", 0, 0, 219, 0, 0, 0, 0, 0, 1, 220
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useAddNewInvoice.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 2, 13, 48
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 7, 37
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useDeleteInvoice.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 14, 18, 69
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useFilterInvoiceById.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 1, 14, 43
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useGetUserDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 3, 12, 40
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useInvoiceId.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 9, 26
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useInvoices.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 27, 0, 1, 13, 41
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useUpdateInvoice.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 34, 0, 1, 12, 47
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useUpdateInvoiceId.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 7, 24
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useUpdateUser.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 34, 0, 3, 11, 48
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useCheckForUser.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useFormatDate.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 4, 31
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useLogin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 3, 9, 43
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useLogout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 2, 4, 17
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\usePaymentStatusColor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 1, 7, 46
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useSignup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 3, 11, 46
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useWindowResize.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 6, 24
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 6, 22
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\EditInvoice\EditInvoice.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 41, 0, 3, 14, 58
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\EditInvoice\EditInvoiceForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 204, 0, 15, 26, 245
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\EditInvoice\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Home\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Home\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\Invoice.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 132, 0, 16, 28, 176
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\InvoiceItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 4, 33
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\ItemsSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 68, 0, 5, 7, 80
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoices\InvoicePreview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 3, 17, 92
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoices\Invoices.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 60, 0, 5, 16, 81
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoices\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Login\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 2, 12, 101
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Login\LoginModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 88, 0, 2, 14, 104
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Login\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NewInvoice\NewInvoice.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 0, 6, 19, 77
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NewInvoice\NewInvoiceForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 209, 0, 10, 23, 242
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NewInvoice\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NotFoundPage\NotFoundPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 5, 21
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NotFoundPage\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\PageLayout\PageLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 48, 0, 1, 7, 56
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\PageLayout\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Signup.jsx\Signup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 264, 0, 12, 35, 311
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Signup.jsx\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\UserProfile\UserProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 31, 0, 1, 12, 44
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\UserProfile\UserProfileForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 108, 0, 7, 11, 126
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\UserProfile\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\styles\index.css", "CSS", 0, 0, 0, 0, 112, 0, 0, 0, 18, 130
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\tailwind.config.cjs", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 2, 3, 125
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\tailwindconfig.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 0, 0, 45
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\vite.config.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"Total", "-", 202, 5, 5518, 11, 112, 2823, 13, 176, 616, 9476
