Date : 2023-03-03 14:49:58
Directory : c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src
Total : 69 files,  3164 codes, 170 comments, 604 blanks, all 3938 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useDeleteInvoice.jsx     | JavaScript JSX |         37 |         14 |         18 |         69 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useFilterInvoiceById.jsx | JavaScript JSX |         28 |          1 |         14 |         43 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useGetUserDetails.jsx    | JavaScript JSX |         25 |          3 |         12 |         40 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useInvoiceId.jsx         | JavaScript JSX |         17 |          0 |          9 |         26 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useInvoices.jsx          | JavaScript JSX |         27 |          1 |         13 |         41 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useUpdateInvoice.jsx     | JavaScript JSX |         34 |          1 |         12 |         47 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useUpdateInvoiceId.jsx   | JavaScript JSX |         17 |          0 |          7 |         24 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\reactQueryHooks\useUpdateUser.jsx        | JavaScript JSX |         34 |          3 |         11 |         48 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useCheckForUser.jsx                      | JavaScript JSX |         11 |          0 |          5 |         16 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useFormatDate.jsx                        | JavaScript JSX |         27 |          0 |          4 |         31 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useLogin.jsx                             | JavaScript JSX |         31 |          3 |          9 |         43 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useLogout.jsx                            | JavaScript JSX |         11 |          2 |          4 |         17 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\usePaymentStatusColor.jsx                | JavaScript JSX |         38 |          1 |          7 |         46 |
| c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useSignup.jsx                            | JavaScript JSX |         32 |          3 |         11 |         46 |
