"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useLogout.jsx", "JavaScript JSX", 11, 0, 0, 0, 2, 4, 17
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\usePaymentStatusColor.jsx", "JavaScript JSX", 38, 0, 0, 0, 1, 7, 46
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useSignup.jsx", "JavaScript JSX", 32, 0, 0, 0, 3, 11, 46
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\hooks\useWindowResize.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 6, 24
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\main.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 6, 22
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\EditInvoice\EditInvoice.jsx", "JavaScript JSX", 41, 0, 0, 0, 3, 14, 58
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\EditInvoice\EditInvoiceForm.jsx", "JavaScript JSX", 204, 0, 0, 0, 15, 26, 245
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\EditInvoice\index.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Home\Home.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 4, 15
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Home\index.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\Invoice.jsx", "JavaScript JSX", 132, 0, 0, 0, 16, 28, 176
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\InvoiceItem.jsx", "JavaScript JSX", 29, 0, 0, 0, 0, 4, 33
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\ItemsSection.jsx", "JavaScript JSX", 68, 0, 0, 0, 5, 7, 80
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoice\index.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoices\InvoicePreview.jsx", "JavaScript JSX", 72, 0, 0, 0, 3, 17, 92
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoices\Invoices.jsx", "JavaScript JSX", 60, 0, 0, 0, 5, 16, 81
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Invoices\index.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Login\Login.jsx", "JavaScript JSX", 87, 0, 0, 0, 2, 12, 101
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Login\LoginModal.jsx", "JavaScript JSX", 88, 0, 0, 0, 2, 14, 104
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Login\index.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NewInvoice\NewInvoice.jsx", "JavaScript JSX", 52, 0, 0, 0, 6, 19, 77
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NewInvoice\NewInvoiceForm.jsx", "JavaScript JSX", 209, 0, 0, 0, 10, 23, 242
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NewInvoice\index.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NotFoundPage\NotFoundPage.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 5, 21
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\NotFoundPage\index.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\PageLayout\PageLayout.jsx", "JavaScript JSX", 48, 0, 0, 0, 1, 7, 56
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\PageLayout\index.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Signup.jsx\Signup.jsx", "JavaScript JSX", 264, 0, 0, 0, 12, 35, 311
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\Signup.jsx\index.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\UserProfile\UserProfile.jsx", "JavaScript JSX", 31, 0, 0, 0, 1, 12, 44
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\UserProfile\UserProfileForm.jsx", "JavaScript JSX", 108, 0, 0, 0, 7, 11, 126
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\pages\UserProfile\index.js", "JavaScript", 0, 0, 1, 0, 0, 1, 2
"c:\Users\bazc\Desktop\coding\frontend-mentors\invoice-app\frontend\src\styles\index.css", "CSS", 0, 112, 0, 0, 0, 18, 130
"Total", "-", 2823, 112, 10, 219, 170, 604, 3938
